id,match_number,stage,start_time,location,team1,team2
match-001,1,Group A,2026-06-11T19:00:00Z,"Estadio Azteca, Mexico City",Mexico,South Africa
match-002,2,Group A,2026-06-12T02:00:00Z,"Estadio Akron, Zapopan",South Korea,UEFA D
match-003,3,Group B,2026-06-12T19:00:00Z,"BMO Field, Toronto",Canada,UEFA A
match-004,4,Group D,2026-06-13T01:00:00Z,"SoFi Stadium, Inglewood",United States,Paraguay
match-008,8,Group B,2026-06-13T19:00:00Z,"Levi's Stadium, Santa Clara",Qatar,Switzerland
match-007,7,Group C,2026-06-13T22:00:00Z,"MetLife Stadium, East Rutherford",Brazil,Morocco
match-005,5,Group C,2026-06-14T01:00:00Z,"Gillette Stadium, Foxborough",Haiti,Scotland
match-006,6,Group D,2026-06-14T03:59:00Z,"BC Place, Vancouver",Australia,UEFA C
match-010,10,Group E,2026-06-14T17:00:00Z,"NRG Stadium, Houston",Germany,Curacao
match-011,11,Group F,2026-06-14T20:00:00Z,"AT&T Stadium, Arlington",Netherlands,Japan
match-009,9,Group E,2026-06-14T23:00:00Z,"Lincoln Financial Field, Philadelphia",Ivory Coast,Ecuador
match-012,12,Group F,2026-06-15T02:00:00Z,"Estadio BBVA, Guadalupe",UEFA B,Tunisia
match-014,14,Group H,2026-06-15T16:00:00Z,"Mercedes-Benz Stadium, Atlanta",Spain,Cape Verde
match-016,16,Group G,2026-06-15T19:00:00Z,"Lumen Field, Seattle",Belgium,Egypt
match-013,13,Group H,2026-06-15T22:00:00Z,"Hard Rock Stadium, Miami Gardens",Saudi Arabia,Uruguay
match-015,15,Group G,2026-06-16T01:00:00Z,"SoFi Stadium, Inglewood",Iran,New Zealand
match-017,17,Group I,2026-06-16T19:00:00Z,"MetLife Stadium, East Rutherford",France,Senegal
match-018,18,Group I,2026-06-16T22:00:00Z,"Gillette Stadium, Foxborough",FIFA 2,Norway
match-019,19,Group J,2026-06-17T01:00:00Z,"Arrowhead Stadium, Kansas City",Argentina,Algeria
match-020,20,Group J,2026-06-17T03:59:00Z,"Levi's Stadium, Santa Clara",Austria,Jordan
match-023,23,Group K,2026-06-17T17:00:00Z,"NRG Stadium, Houston",Portugal,FIFA 1
match-021,21,Group L,2026-06-17T20:00:00Z,"AT&T Stadium, Arlington",England,Croatia
match-022,22,Group L,2026-06-17T23:00:00Z,"BMO Field, Toronto",Ghana,Panama
match-024,24,Group K,2026-06-18T02:00:00Z,"Estadio Azteca, Mexico City",Uzbekistan,Colombia
match-025,25,Group A,2026-06-18T16:00:00Z,"Mercedes-Benz Stadium, Atlanta",UEFA D,South Africa
match-026,26,Group B,2026-06-18T19:00:00Z,"SoFi Stadium, Inglewood",Switzerland,UEFA A
match-027,27,Group B,2026-06-18T22:00:00Z,"BC Place, Vancouver",Canada,Qatar
match-028,28,Group A,2026-06-19T01:00:00Z,"Estadio Akron, Zapopan",Mexico,South Korea
match-032,32,Group D,2026-06-19T19:00:00Z,"Lumen Field, Seattle",United States,Australia
match-030,30,Group C,2026-06-19T22:00:00Z,"Gillette Stadium, Foxborough",Scotland,Morocco
match-029,29,Group C,2026-06-20T01:00:00Z,"Lincoln Financial Field, Philadelphia",Brazil,Haiti
match-031,31,Group D,2026-06-20T03:59:00Z,"Levi's Stadium, Santa Clara",UEFA C,Paraguay
match-035,35,Group F,2026-06-20T17:00:00Z,"NRG Stadium, Houston",Netherlands,UEFA B
match-033,33,Group E,2026-06-20T20:00:00Z,"BMO Field, Toronto",Germany,Ivory Coast
match-034,34,Group E,2026-06-21T00:00:00Z,"Arrowhead Stadium, Kansas City",Ecuador,Curacao
match-036,36,Group F,2026-06-21T03:59:00Z,"Estadio BBVA, Guadalupe",Tunisia,Japan
match-038,38,Group H,2026-06-21T16:00:00Z,"Mercedes-Benz Stadium, Atlanta",Spain,Saudi Arabia
match-039,39,Group G,2026-06-21T19:00:00Z,"Sofi Stadium, Inglewood",Belgium,Iran
match-037,37,Group H,2026-06-21T22:00:00Z,"Hard Rock Stadium, Miami Gardens",Uruguay,Cape Verde
match-040,40,Group G,2026-06-22T01:00:00Z,"BC Place, Vancouver",New Zealand,Egypt
match-043,43,Group J,2026-06-22T17:00:00Z,"AT&T Stadium, Arlington",Argentina,Austria
match-042,42,Group I,2026-06-22T21:00:00Z,"Lincoln Financial Field, Philadelphia",France,FIFA 2
match-041,41,Group I,2026-06-23T00:00:00Z,"MetLife Stadium, East Rutherford",Norway,Senegal
match-044,44,Group J,2026-06-23T03:00:00Z,"Levi's Stadium, Santa Clara",Jordan,Algeria
match-047,47,Group K,2026-06-23T17:00:00Z,"NRG Stadium, Houston",Portugal,Uzbekistan
match-045,45,Group L,2026-06-23T20:00:00Z,"Gillette Stadium, Foxborough",England,Ghana
match-046,46,Group L,2026-06-23T23:00:00Z,"BMO Field, Toronto",Panama,Croatia
match-048,48,Group K,2026-06-24T02:00:00Z,"Estadio Akron, Zapopan",Colombia,FIFA 1
match-051,51,Group B,2026-06-24T19:00:00Z,"BC Place, Vancouver",Switzerland,Canada
match-052,52,Group B,2026-06-24T19:00:00Z,"Lumen Field, Seattle",UEFA A,Qatar
match-049,49,Group C,2026-06-24T22:00:00Z,"Hard Rock Stadium, Miami Gardens",Scotland,Brazil
match-050,50,Group C,2026-06-24T22:00:00Z,"Mercedes-Benz Stadium, Atlanta",Morocco,Haiti
match-053,53,Group A,2026-06-25T01:00:00Z,"Estadio Azteca, Mexico City",UEFA D,Mexico
match-054,54,Group A,2026-06-25T01:00:00Z,"Estadio BBVA, Guadalupe",South Africa,South Korea
match-055,55,Group E,2026-06-25T20:00:00Z,"Lincoln Financial Field, Philadelphia",Curacao,Ivory Coast
match-056,56,Group E,2026-06-25T20:00:00Z,"MetLife Stadium, East Rutherford",Ecuador,Germany
match-057,57,Group F,2026-06-25T23:00:00Z,"AT&T Stadium, Arlington",Japan,UEFA B
match-058,58,Group F,2026-06-25T23:00:00Z,"Arrowhead Stadium, Kansas City",Tunisia,Netherlands
match-059,59,Group D,2026-06-26T02:00:00Z,"SoFi Stadium, Inglewood",UEFA C,United States
match-060,60,Group D,2026-06-26T02:00:00Z,"Levi's Stadium, Santa Clara",Paraguay,Australia
match-061,61,Group I,2026-06-26T19:00:00Z,"Gillette Stadium, Foxborough",Norway,France
match-062,62,Group I,2026-06-26T19:00:00Z,"BMO Field, Toronto",Senegal,FIFA 2
match-065,65,Group H,2026-06-27T00:00:00Z,"NRG Stadium, Houston",Cape Verde,Saudi Arabia
match-066,66,Group H,2026-06-27T00:00:00Z,"Estadio Akron, Zapopan",Uruguay,Spain
match-063,63,Group G,2026-06-27T03:00:00Z,"Lumen Field, Seattle",Egypt,Iran
match-064,64,Group G,2026-06-27T03:00:00Z,"BC Place, Vancouver",New Zealand,Belgium
match-067,67,Group L,2026-06-27T21:00:00Z,"MetLife Stadium, East Rutherford",Panama,England
match-068,68,Group L,2026-06-27T21:00:00Z,"Lincoln Financial Field, Philadelphia",Croatia,Ghana
match-071,71,Group K,2026-06-27T23:30:00Z,"Hard Rock Stadium, Miami Gardens",Colombia,Portugal
match-072,72,Group K,2026-06-27T23:30:00Z,"Mercedes-Benz Stadium, Atlanta",FIFA 1,Uzbekistan
match-069,69,Group J,2026-06-28T02:00:00Z,"Arrowhead Stadium, Kansas City",Algeria,Austria
